Party,Votes,%,Seats,+/–
,African National Congress,"11,436,921",62.15,249,–15
,Democratic Alliance,"4,091,584",22.23,89,+18
,Economic Freedom Fighters,"1,169,259",6.35,25,New
,Inkatha Freedom Party,"441,854",2.40,10,–8
,National Freedom Party,"288,742",1.57,6,New
,United Democratic Movement,"184,636",1.00,4,0
,Freedom Front Plus,"165,715",0.90,4,0
,Congress of the People,"123,235",0.67,3,–27
,African Christian Democratic Party,"104,039",0.57,3,0
,African Independent Congress,"97,642",0.53,3,New
,Agang South Africa,"52,350",0.28,2,New
,Pan Africanist Congress,"37,784",0.21,1,0
,African People's Convention,"30,676",0.17,1,0
,Al Jama-ah,"25,976",0.14,0,0
,Minority Front,"22,589",0.12,0,–1
,United Christian Democratic Party,"21,744",0.12,0,–2
,Azanian People's Organisation,"20,421",0.11,0,–1
,Bushbuckridge Residents Association,"15,271",0.08,0,New
,Independent Civic Organisation,"14,472",0.08,0,New
,Patriotic Alliance,"13,263",0.07,0,New
,Workers and Socialist Party,"8,331",0.05,0,New
,Ubuntu Party,"8,234",0.04,0,New
,Kingdom Governance Movement,"6,408",0.03,0,New
,Front National,"5,138",0.03,0,New
,Keep It Straight and Simple Party,"4,294",0.02,0,0
,Pan Africanist Movement,"3,815",0.02,0,0
,First Nation Liberation Alliance,"3,297",0.02,0,New
,United Congress,"3,136",0.02,0,New
,Peoples Alliance,"1,671",0.01,0,New
