Party,Votes,%,+/–,Seats,+/–
,African National Congress,"10,026,475",57.50,–4.65,230,–19
,Democratic Alliance,"3,622,531",20.77,–1.36,84,–5
,Economic Freedom Fighters,"1,882,480",10.80,+4.45,44,+19
,Inkatha Freedom Party,"588,839",3.38,+0.98,14,+4
,Freedom Front Plus,"414,864",2.38,+1.48,10,+6
,African Christian Democratic Party,"146,262",0.84,+0.27,4,+1
,United Democratic Movement,"78,030",0.45,–0.55,2,–2
,African Transformation Movement,"76,830",0.44,New,2,New
,Good,"70,408",0.40,New,2,New
,National Freedom Party,"61,220",0.35,–1.22,2,–4
,African Independent Congress,"48,107",0.28,–0.25,2,–1
,Congress of the People,"47,461",0.27,–0.40,2,–1
,Pan Africanist Congress,"32,677",0.19,–0.02,1,0
,Al Jama-ah,"31,468",0.18,+0.04,1,+1
,African Security Congress,"26,262",0.15,New,0,New
,Socialist Revolutionary Workers Party,"24,439",0.14,New,0,New
,Black First Land First,"19,796",0.11,New,0,New
,African People's Convention,"19,593",0.11,–0.06,0,–1
,Afrikan Alliance of Social Democrats,"18,834",0.11,New,0,New
,Capitalist Party of South Africa,"15,915",0.09,New,0,New
,Alliance for Transformation for All,"14,266",0.08,New,0,New
,Agang South Africa,"13,856",0.08,–0.20,0,–2
,Azanian People's Organisation,"12,823",0.07,–0.04,0,0
,Independent Civic Organisation,"12,386",0.07,–0.01,0,0
,Minority Front,"11,961",0.07,–0.05,0,0
,Democratic Liberal Congress,"10,660",0.06,New,0,New
,Better Residents Association,"9,179",0.05,–0.03,0,0
,Forum for Service Delivery,"7,564",0.04,New,0,New
,Front National,"7,144",0.04,+0.01,0,0
,Land Party,"7,074",0.04,New,0,New
,African Covenant,"7,019",0.04,New,0,New
,Patriotic Alliance,"6,660",0.04,–0.03,0,0
,African Democratic Change,"6,499",0.04,New,0,New
,Economic Emancipation Forum,"6,321",0.04,New,0,New
,Women Forward,"6,108",0.04,New,0,New
,Christian Political Movement,"4,980",0.03,New,0,New
,African Content Movement,"4,841",0.03,New,0,New
,International Revelation Congress,"4,247",0.02,New,0,New
,National People's Front,"4,019",0.02,New,0,New
,African Renaissance Unity Party,"3,860",0.02,New,0,New
,African Congress of Democrats,"3,768",0.02,New,0,New
,South African National Congress of Traditional Authorities,"3,714",0.02,New,0,New
,Compatriots of South Africa,"3,406",0.02,New,0,New
,People's Revolutionary Movement,"2,844",0.02,New,0,New
,Power of Africans Unity,"2,685",0.02,New,0,New
,Free Democrats,"2,580",0.01,New,0,New
,South African Maintenance and Estate Beneficiaries Association,"2,445",0.01,New,0,New
,National People's Ambassadors,"1,979",0.01,New,0,New
